Sr.No ,Questions ,Answers ,Department ,Sub-Department ,Remarks ,Status
184,How to enable dark mode or change the app theme?,"Go to Settings > Display > Theme, and choose Dark or Light mode as per your preference.",,FINX Platform/ WEB and technical,,
185,Can orders be placed by calling to Choice?,Yes. Number 8899200200,,FINX Platform/ WEB and technical,,
186,Where to check the status of an IPO application?,Login to application -> Hompage (Smart investments)-> IPO,,FINX Platform/ WEB and technical,,
187,Will IPO & Bonds will reflect in the portfolio?,Yes. IPO & Bonds will reflect in the portfolio.,,FINX Platform/ WEB and technical,,
188,Why should I give my bank account details at the time of account opening?,"This is to protect your interests. Your bank account number will be mentioned on the interest or dividend warrant, you are entitled to, so that these warrants cannot be encashed by any one else. Further, a bank account number is mandatory to open a DP account.",,FINX Platform/ WEB and technical,,
189,What do you mean by 'Market Trades'?,Any trade settled through a clearing corporation is termed as a 'Market Trade'. These trades are done through stock brokers on a stock exchange.,,FINX Platform/ WEB and technical,,
190,How to download ledger?,Login to application go to more option-> Reports-> ledger,,FINX Platform/ WEB and technical,,
191,How to download tax report?,Login to application go to more option-> Reports-> Tax Report,,FINX Platform/ WEB and technical,,
192,How to download P&L?,Login to application go to more option-> Reports-> P&L,,FINX Platform/ WEB and technical,,
193,How to download Client master list(CML)?,Login to application go to more option-> click on profile-> Document-> client master list(CML),,FINX Platform/ WEB and technical,,
194,How to pledge stock?,Login to application go to more option-> Others-> Unpledge,,FINX Platform/ WEB and technical,,
195,How to unpledge stock?,Login to application go to more option-> click on profile-> Click here for pledge Authorization,,FINX Platform/ WEB and technical,,
196,"How to give profile modification request (Bank, Contact, Nominee, Segment activation)?",Login to application go to more option-> click on profile-> Profile modification,,FINX Platform/ WEB and technical,,
197,Where to view portfolio in Finx App?,Login to application -> Portfolio,,FINX Platform/ WEB and technical,,
198,How to check brokerage slab?,Login to application go to more option > click on profile > Calculate Brokerage,,FINX Platform/ WEB and technical,,
199,Where to view my order status?,Login to application -> Orders ->Orders,,FINX Platform/ WEB and technical,,
200,Where to view my Net position?,Login to application -> Orders -> Position,,FINX Platform/ WEB and technical,,
201,Where to view my GTT orders?,Login to application -> Orders -> GTT,,FINX Platform/ WEB and technical,,
202,How can I check the available trading limit balance in my Choice account?,Login to application go to more option-> Funds->check available Balance,,FINX Platform/ WEB and technical,,
203,What is cover order?,"A cover order is a special order type that combines a market or limit order with a mandatory stop-loss order, providing a built-in risk mitigation mechanism for intraday trades.",,FINX Platform/ WEB and technical,,
204,what is bracket order ?,"a bracket order is a type of market order that combines a primary order (buy or sell) with a target order (for profit-taking) and a stop-loss order (to limit potential losses), all placed simultaneously.",,FINX Platform/ WEB and technical,,
205,How to place GTT order?,Login to application -> select scrip-> click on Buy option -> order type as GTT,,FINX Platform/ WEB and technical,,
206,How to open trading View Chart,Login to application -> More-> Others -> My preferences -> Chart-> trading view chart,,FINX Platform/ WEB and technical,,
207,How can I apply for an IPO through your platform?,"You can apply for IPOs via our mobile app or web platform. Go to the IPO section, select the IPO, enter your bid details and UPI ID, and submit your application.",,IPO and Mutual Funds,,
208,"I applied for an IPO, but my application is not showing. What should I do?","Ensure that you entered the correct UPI ID and approved the mandate request from your UPI app. If the mandate is not accepted, your application won't be submitted.",,IPO and Mutual Funds,,
209,When will the amount get blocked for the IPO?,"Once you approve the UPI mandate, the amount will be blocked in your bank account till the allotment date.",,IPO and Mutual Funds,,
210,How will I know if I got the IPO allotment?,You will receive an SMS or email from the registrar of the IPO. You can also check allotment status on the registrar's or exchange’s website.,,IPO and Mutual Funds,,
211,When will the shares be credited to my demat account if allotted?,Shares are credited to your demat account one day before listing.,,IPO and Mutual Funds,,
212,My IPO application failed or got rejected. Will the blocked amount be refunded?,"Yes, if your IPO application fails or you don’t receive allotment, the blocked amount will be unblocked automatically by your bank.",,IPO and Mutual Funds,,
213,Can I apply for IPOs using multiple UPI IDs or demat accounts?,"No, only one IPO application per PAN is allowed. Multiple applications will be rejected.",,IPO and Mutual Funds,,
214,What is the minimum and maximum limit to apply in an IPO?,"The minimum application size is typically one lot, which varies per IPO. Maximum limit for retail investors is ₹2 lakhs.",,IPO and Mutual Funds,,
215,Can I modify or cancel my IPO bid after submitting?,"Yes, you can modify or cancel your IPO application before the IPO window closes (typically 4 PM on the last day).",,IPO and Mutual Funds,,
216,I haven’t received the UPI mandate for IPO. What should I do?,Retry the application or check if your UPI ID is mapped with the correct bank and is active for IPOs. You can also try using another UPI app.,,IPO and Mutual Funds,,
